Account Name,Type,18 Digit ID,Account ID,LE ID,Artist Name (pka or dba),Company Name,Legal Name,Primary Contact First Name,Primary Contact Last Name
Jacob Vallen,Artist,001PP00000fkWZzYAM,001PP00000fkWZz,,Jacob Vallen,,Jacob Vaillancourt,,
Relax my Dog Ltd,Record Label,001PP00000fsLntYAE,001PP00000fsLnt,,,"Relax my Dog Ltd  d/b/a ""Relaxmydog"" and ""Dog Music Dreams""",,,
SkinnyBoi CJ,Artist,001PP00000ftF3eYAE,001PP00000ftF3e,,SkinnyBoi CJ,,Chijioke Nwolisah,,
Knoir,Artist,001PP00000ftO6xYAE,001PP00000ftO6x,,Knoir,,Jacob Rowe,,
Trace Amounts,Record Label,001PP00000ftbVaYAI,001PP00000ftbVa,,Westend,Trace Amounts,Tyler Morris,,
JB BINLADEN,Artist,001PP00000fxQwaYAE,001PP00000fxQwa,,JB BINLADEN,,Jermari Boddy,,
"Flannel and Beanie, Inc.",Artist,001PP00000g16ETYAY,001PP00000g16ET,,Josh A,,Josh Ashcraft,,
AC640,Artist,001PP00000g1Kr5YAE,001PP00000g1Kr5,,AC640,,Kingston King,,
Left Coast Records,Record Label,001PP00000g7AydYAE,001PP00000g7Ayd,,,,,,
Leonardo Pierre,Producer,001PP00000g7j56YAA,001PP00000g7j56,,Leonardo Pierre,,Leonardo Pierre,,
yovngblake,Producer,001PP00000g870vYAA,001PP00000g870v,,yovngblake,,Konstantin Krannich,,
Clayton William,Artist,001PP00000gGupLYAS,001PP00000gGupL,,Clayton William,,Clayton William McChesney,,
RaeCola,Artist,001PP00000gGwpWYAS,001PP00000gGwpW,,RaeCola,,Rachel and Nicole Henderson,,
"Jason Derulo, Inc.",Record Label,001PP00000gI2PpYAK,001PP00000gI2Pp,,,"Jason Derulo, Inc. c/o Gelfand, Rennert & Feldman, LLC c",,,
Ghost in Real Life,Artist,001PP00000gJXUkYAO,001PP00000gJXUk,,Ghost in Real Life,,margret beltran,,
gladde paling,Artist,001PP00000gJnxhYAC,001PP00000gJnxh,,gladde paling,,Laurens van Dijk,,
ChaiBenjii4,Artist,001PP00000gJtJxYAK,001PP00000gJtJx,,ChaiBenjii4,,Michai Adams,,
Lil Speedy,Artist,001PP00000gTc9sYAC,001PP00000gTc9s,,Lil Speedy,,selton ellis,,
Novial Music,Record Label,001PP00000gYbBTYA0,001PP00000gYbBT,,,Novial Music,,,
NOVUL,Artist,001PP00000gaVoMYAU,001PP00000gaVoM,,NOVUL,,SAMMANTHA NOVLAN,,
ooslo,Artist,001PP00000gbFuWYAU,001PP00000gbFuW,,ooslo,,Liam Gerritsen,,
Kamil Ghaouti,Artist,001PP00000gfr9pYAA,001PP00000gfr9p,,Kamil Ghaouti,,Kamil Ghaouti,,
Smokepurpp,Artist,001PP00000gg9EoYAI,001PP00000gg9Eo,,Smokepurpp,,Omar Pineiro,,
XIRA,Artist,001PP00000gghohYAA,001PP00000gghoh,,XIRA,,Tamika Nacson,,
Montana 700,Artist,001PP00000ggmGFYAY,001PP00000ggmGF,,Montana 700,,Tony  McDowell,,
brandonquintanaaa,Producer,001PP00000ghic9YAA,001PP00000ghic9,,brandonquintanaaa,,Brandon Quintana,,
"Create Records, LLC",Division,001PP00000giVxdYAE,001PP00000giVxd,,,Create Records LLC,,,
Armando,Artist,001PP00000gofkiYAA,001PP00000gofki,,Armando,,Armando Barrientos,,
Luigi Joseph Tiano,Producer,001PP00000gqSYhYAM,001PP00000gqSYh,,Majr,,Luigi Joseph Tiano,,
Mauro Venti,Producer,001PP00000gqcAgYAI,001PP00000gqcAg,,Mauro Venti,,Mauro  Venti,,
Saint Lamaar,Artist,001PP00000grO8tYAE,001PP00000grO8t,,Saint Lamaar,,Joshua Lamaar Ellison,,
Valleywood Records Inc,Record Label,001PP00000gxrpgYAA,001PP00000gxrpg,,,Valleywood Records Inc,,,
Reyy,Producer,001PP00000gylGoYAI,001PP00000gylGo,,Reyy,,Ignat Vdovin,,
Kyle Exum,Artist,001PP00000gzIRZYA2,001PP00000gzIRZ,,Kyle Exum,,Kyle Exum,,
Common Tribe,Artist,001PP00000h49IZYAY,001PP00000h49IZ,,Common Tribe,,Jeremiah Livingston,,
Matoma Productions AS,Artist,001PP00000h4j15YAA,001PP00000h4j15,,,Matoma Productions AS,,,
Vinculum Music LLC,Division,001PP00000h5iu5YAA,001PP00000h5iu5,,,Vinculum Music LLC,,,
Koladae,Artist,001PP00000hHRUVYA4,001PP00000hHRUV,,Nyra Koladae,,Olutobi Akinwumi,,
NDOTZ,Management,001PP00000hMVsSYAW,001PP00000hMVsS,,NDOTZ,CHOSEN MUSIC FLYSTR8 LIMITED,Ngueza Nihadi De Almeida Cardoso,,
Merc The Big  Body Benz,Artist,001PP00000hMYQYYA4,001PP00000hMYQY,,Merc The Big  Body Benz,,Mercedes Barnes,,
Nik Roos,Artist,001PP00000hMifyYAC,001PP00000hMify,,Nik Roos,,Nik Roos,,
Algal The Bard,Artist,001PP00000hNHc5YAG,001PP00000hNHc5,,Algal The Bard,,Alvaro Galan Cruañes,,
Montana 700,Record Label,001PP00000hO5iYYAS,001PP00000hO5iY,,Montana 700,Double M Records LLC,Tony McDowell,,
720mau5 LLC,Division,001PP00000hVm1DYAS,001PP00000hVm1D,,,720mau5 LLC / Music of 720mau5 (BMI) / 720mau5 Songs (ASCAP),,,
SLACKCiRCUS,Artist,001PP00000hVrqTYAS,001PP00000hVrqT,,SLACKCiRCUS,,John Allen,,
Epicwin  Ltd.,Division,001PP00000hW6BBYA0,001PP00000hW6BB,,deadmau5,Epicwin Ltd. d/b/a Epicpublishing / mau5trap Music (BMI) / mau5trap Songs (ASCAP),,,
Joyner Lucas,Artist,001PP00000hWGVVYA4,001PP00000hWGVV,,Joyner Lucas,,Gary Lucas,,
Valo Enjy,Producer,001PP00000hdKnkYAE,001PP00000hdKnk,,Valo Enjy,,Alexandr Elizarov,,
Erica Manzoli,Artist,001PP00000hkIz2YAE,001PP00000hkIz2,,Erica Manzoli,,Erica Jade Eskrick Manzoli,,
Corbal LLC,Record Label,001PP00000hkSjqYAE,001PP00000hkSjq,,,Corbal LLC,,,
DaeTheMenace,Producer,001PP00000hkcBJYAY,001PP00000hkcBJ,,DaeTheMenace,,Daesean Pollard,,
Jet Music,Artist,001PP00000hlyWSYAY,001PP00000hlyWS,,,,,,
TYTO,Producer,001PP00000hm3hPYAQ,001PP00000hm3hP,,TYTO,,Spencer Ruskowski,,
Tay B,Artist,001PP00000hriqVYAQ,001PP00000hriqV,,Tay B,AFLN MUSIC GROUP LLC,Diamante Warren,,
mortdejay,Producer,001PP00000hzWiXYAU,001PP00000hzWiX,,mortdejay,,Jean Alexis Ngamije,,
Pop Kreep,Artist,001PP00000hzdeKYAQ,001PP00000hzdeK,,Pop Kreep,,Rohan Pearce,,
BlastyBeatz,Producer,001PP00000hzuVNYAY,001PP00000hzuVN,,BlastyBeatz,,Timofey Isaev,,
Jodot kreep,Artist,001PP00000hzx9jYAA,001PP00000hzx9j,,Jodot kreep,,Josiah  Shaw,,
CashKelly,Producer,001PP00000i52yVYAQ,001PP00000i52yV,,CashKelly,,David Arakelyan,,
Virus Syndicate,Band,001PP00000i9GPEYA2,001PP00000i9GPE,,,,,,
DOIL,Artist,001PP00000i9i26YAA,001PP00000i9i26,,DOIL,,Vebjørn Berg-Jørgensen,,
1SAUSED,Producer,001PP00000iAbraYAC,001PP00000iAbra,,1SAUSED,,Daniil Bukharin,,
Premier Cloud,Other,001PP00000iAippYAC,001PP00000iAipp,,,,,,
Fraxy,Artist,001PP00000iAqAYYA0,001PP00000iAqAY,,Fraxy,,Francesco Minardi,,
Sporty-O,Artist,001PP00000iAsHLYA0,001PP00000iAsHL,,Sporty-O,,George Williams,,
Koji Aiken,Artist,001PP00000iBHicYAG,001PP00000iBHic,,Koji Aiken,,Koji  Aiken,,
Anoluxx,Artist,001PP00000iCKbUYAW,001PP00000iCKbU,,Anoluxx,,Richard  Hainsworth,,
Grandson Music LLC,Record Label,001PP00000iI47AYAS,001PP00000iI47A,,,Grandson Music LLC,,,
Lofi Fruits Music,Artist,001PP00000iJ73AYAS,001PP00000iJ73A,,Lofi Fruits Music,,,,
xtcsuki,Producer,001PP00000iKH3oYAG,001PP00000iKH3o,,xtcsuki,,Alexis  Lopez Zarate,,
NxRx LLC,Record Label,001PP00000iKfQvYAK,001PP00000iKfQv,,,,,,
Powfu Productions Inc.,Management,001PP00000iQTgDYAW,001PP00000iQTgD,,powfu,Powfu Productions Inc,Isiah Faber,,
Isaiah Valmont,Producer,001PP00000iQfCqYAK,001PP00000iQfCq,,Isaiah Valmont,,Isaiah Valmont,,
PodcastOne,Management,001PP00000iR16rYAC,001PP00000iR16r,,,PodcastOne,,,
Regikid,Artist,001PP00000iS1YRYA0,001PP00000iS1YR,,Regikid,,Lantei Lamptey,,
ZOMB,Artist,001PP00000iYTKyYAO,001PP00000iYTKy,,ZØMB,,Adam Ebied,,
One Culture LLC,Record Label,001PP00000iYom4YAC,001PP00000iYom4,,,One Culture LLC,,,
waydark,Producer,001PP00000ibffyYAA,001PP00000ibffy,,waydark,,luis miguel sierra,,
Pretty Sweet,Band,001PP00000ibzrUYAQ,001PP00000ibzrU,,Pretty Sweet,,Chandler Williams,,
Croosh,Artist,001PP00000ij4JYYAY,001PP00000ij4JY,,,,Jamir Malek,,
HunchoMadeThis,Producer,001PP00000ijIVvYAM,001PP00000ijIVv,,HunchoMadeThis,,Kyler  Gregory,,
Carbin,Artist,001PP00000ijPuAYAU,001PP00000ijPuA,,Carbin,,,,
Lucki,Artist,001PP00000ijXy5YAE,001PP00000ijXy5,,Lucki,,Lucki Camel Jr.,,
Young N Fly,Producer,001PP00000ijgtWYAQ,001PP00000ijgtW,,Young N Fly,,Brian Newman,,
Prodbyjai,Producer,001PP00000ijhW4YAI,001PP00000ijhW4,,Prodbyjai,,Christopher Webster,,
Bagluck,Artist,001PP00000izTByYAM,001PP00000izTBy,,Bagluck,,Steven Winans,,
